reporting_period,owner_org,owner_org_title
2018-2019-Q1,aandc-aadnc,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada
2016-2017-Q3,cgc-ccg,Canadian Grain Commission | Commission canadienne des grains
2016-2017-Q4,fpcc-cpac,Farm Products Council of Canada | Conseil des produits agricoles du Canada
2017-2018-Q3,fpcc-cpac,Farm Products Council of Canada | Conseil des produits agricoles du Canada
2017-2018-Q4,fpcc-cpac,Farm Products Council of Canada | Conseil des produits agricoles du Canada
2018-2019-Q4,fpcc-cpac,Farm Products Council of Canada | Conseil des produits agricoles du Canada
2018-2019-Q1,mgerc-ceegm,Military Grievances External Review Committee | Comité externe d’examen des griefs militaires
2017-2018-Q4,neb-one,National Energy Board | Office national de l'énergie
2017-2018-Q2,nserc-crsng,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada
2017-2018-Q3,nserc-crsng,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada
2018-2019-Q3,nserc-crsng,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada
2018-2019-Q1,nserc-crsng,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada
2017-2018-Q1,nserc-crsng,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada
2017-2018-Q4,nserc-crsng,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada
2018-2019-Q2,nserc-crsng,Natural Sciences and Engineering Research Council of Canada | Conseil de recherches en sciences naturelles et en génie du Canada
2017-2018-Q3,oci-bec,The Correctional Investigator Canada | L'Enquêteur correctionnel Canada
2016-2017-Q3,pmprb-cepmb,Patented Medicine Prices Review Board Canada | Conseil d'examen du prix des médicaments brevetés Canada
2017-2018-Q2,sshrc-crsh,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2017-2018-Q1,sshrc-crsh,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2018-2019-Q2,sshrc-crsh,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2017-2018-Q4,sshrc-crsh,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2018-2019-Q1,sshrc-crsh,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2017-2018-Q3,sshrc-crsh,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2018-2019-Q3,sshrc-crsh,Social Sciences and Humanities Research Council of Canada | Conseil de recherches en sciences humaines du Canada
2017-2018-Q3,vrab-tacra,Veterans Review and Appeal Board | Tribunal des anciens combattants (révision et appel)
2018-2019-Q2,vrab-tacra,Veterans Review and Appeal Board | Tribunal des anciens combattants (révision et appel)
2018-2019-Q3,vrab-tacra,Veterans Review and Appeal Board | Tribunal des anciens combattants (révision et appel)
